,Year,Value
368,2018,1251
369,2018,22
370,2018,19
371,2018,63
372,2018,214
373,2018,0
374,2018,907
375,2018,25
376,2018,164
377,2018,167
378,2018,199
379,2018,2125
380,2018,588
381,2018,562
382,2018,975
383,2018,2125
384,2018,925
385,2018,462
386,2018,738
387,2018,481100
388,2018,66100
389,2018,127
390,2018,91
391,2018,21
392,2018,9
393,2018,44
394,2018,4374
395,2018,4270
396,2018,24
397,2018,11
398,2018,69
399,2018,3969
400,2018,111
401,2018,15
402,2018,265
403,2018,1239
404,2018,0
405,2018,2301
406,2018,38
407,2018,247
408,2018,260
409,2018,418
410,2018,6233
411,2018,1614
412,2018,3538
413,2018,1081
414,2018,6233
415,2018,2578
416,2018,1662
417,2018,1992
418,2018,158000
419,2018,15100
420,2018,97
421,2018,81
422,2018,16
423,2018,7
424,2018,41
425,2018,7494
426,2018,5374
427,2018,1366
428,2018,2
429,2018,752
430,2018,5299
431,2018,174
432,2018,40
433,2018,1072
434,2018,644
435,2018,4
436,2018,2526
437,2018,844
438,2018,276
439,2018,288
440,2018,2207
441,2018,12918
442,2018,4917
443,2018,5948
444,2018,821
445,2018,134
446,2018,2053
447,2018,12918
448,2018,4116
449,2018,3919
450,2018,4883
451,2018,1442500
452,2018,424900
453,2018,125
454,2018,118
455,2018,54
456,2018,17
457,2018,32
458,2018,112031
459,2018,10083
460,2018,100696
461,2018,557
462,2018,86
463,2018,608
464,2018,105531
465,2018,843
466,2018,3676
467,2018,2782
468,2018,15244
469,2018,23
470,2018,7699
471,2018,74271
472,2018,1016
473,2018,12824
474,2018,14208
475,2018,7884
476,2018,86115
477,2018,39837
478,2018,28375
479,2018,4631
480,2018,1922
481,2018,17903
482,2018,86115
483,2018,41662
484,2018,27659
485,2018,16793
486,2018,476900
487,2018,33600
488,2018,144
489,2018,93
490,2018,24
491,2018,19
492,2018,9
493,2018,48
494,2018,6222
495,2018,303
496,2018,5823
497,2018,34
498,2018,2
499,2018,60
500,2018,5770
501,2018,119
502,2018,1127
503,2018,215
504,2018,621
505,2018,4
506,2018,202
507,2018,3448
508,2018,37
509,2018,1675
510,2018,1755
511,2018,533
512,2018,9437
513,2018,3769
514,2018,3886
515,2018,533
516,2018,150
517,2018,1782
518,2018,9437
519,2018,4340
520,2018,2300
521,2018,2797
522,2018,606900
523,2018,51900
524,2018,164
525,2018,88
526,2018,33
527,2018,12
528,2018,6
529,2018,46
530,2018,6222
531,2018,303
532,2018,5823
533,2018,34
534,2018,2
535,2018,60
536,2018,5770
537,2018,119
538,2018,1127
539,2018,215
540,2018,621
541,2018,4
542,2018,202
543,2018,3448
544,2018,37
545,2018,1675
546,2018,1755
547,2018,533
548,2018,9437
549,2018,3769
550,2018,3886
551,2018,533
552,2018,150
553,2018,1782
554,2018,9437
555,2018,4340
556,2018,2300
557,2018,2797
558,2018,606900
559,2018,51900
560,2018,164
561,2018,88
562,2018,33
563,2018,12
564,2018,6
565,2018,46
566,2018,2207
567,2018,289
568,2018,1888
569,2018,6
570,2018,1
571,2018,22
572,2018,2073
573,2018,23
574,2018,7
575,2018,42
576,2018,437
577,2018,0
578,2018,185
579,2018,1357
580,2018,21
581,2018,415
582,2018,401
583,2018,119
584,2018,1547
585,2018,977
586,2018,354
587,2018,71
588,2018,34
589,2018,215
590,2018,1547
591,2018,662
592,2018,625
593,2018,260
594,2018,255100
595,2018,13800
596,2018,156
597,2018,92
598,2018,36
599,2018,18
600,2018,8
601,2018,43
602,2018,1680
603,2018,220
